Review_ID,Review_Text,Sentiment
850,Excellent service and fast delivery. Highly recommend!,Positive
266,Not satisfied with the quality. It feels cheap.,Negative
996,The item arrived late and was damaged. Very disappointed.,Negative
530,The item arrived late and was damaged. Very disappointed.,Negative
56,"Terrible experience, the product broke after a week.",Negative
121,"Terrible experience, the product broke after a week.",Negative
216,I wouldn't recommend this to my friends. Poor performance.,Negative
26,,Positive
73,I wouldn't recommend this to my friends. Poor performance.,Negative
45,"Neutral feelings about this product, it's just average.",Neutral
248,Amazing quality and great value for the price!,Positive
722,I love this product! It has changed my life.,Positive
282,I love this product! It has changed my life.,Positive
894,"Neutral feelings about this product, it's just average.",Neutral
915,Not satisfied with the quality. It feels cheap.,Negative
811,"Neutral feelings about this product, it's just average.",Neutral
245,Excellent service and fast delivery. Highly recommend!,Positive
823,"Terrible experience, the product broke after a week.",Negative
322,"Neutral feelings about this product, it's just average.",Neutral
644,Excellent service and fast delivery. Highly recommend!,Positive
159,"Terrible experience, the product broke after a week.",Negative
978,"Neutral feelings about this product, it's just average.",Neutral
430,Not satisfied with the quality. It feels cheap.,Negative
942,Amazing quality and great value for the price!,Positive
463,The item arrived late and was damaged. Very disappointed.,Negative
310,Not satisfied with the quality. It feels cheap.,Negative
698,"Neutral feelings about this product, it's just average.",Neutral
61,Excellent service and fast delivery. Highly recommend!,Positive
885,"Neutral feelings about this product, it's just average.",Neutral
596,The item arrived late and was damaged. Very disappointed.,Negative
768,Excellent service and fast delivery. Highly recommend!,Positive
650,I love this product! It has changed my life.,Positive
651,I wouldn't recommend this to my friends. Poor performance.,Negative
866,"Terrible experience, the product broke after a week.",Negative
669,I wouldn't recommend this to my friends. Poor performance.,Negative
299,Excellent service and fast delivery. Highly recommend!,Positive
690,Amazing quality and great value for the price!,Positive
315,The item arrived late and was damaged. Very disappointed.,Negative
311,Excellent service and fast delivery. Highly recommend!,Positive
362,Not satisfied with the quality. It feels cheap.,Negative
480,The item arrived late and was damaged. Very disappointed.,Negative
111,"The product is okay, but nothing special.",Neutral
990,Excellent service and fast delivery. Highly recommend!,Positive
487,I love this product! It has changed my life.,Positive
364,"Terrible experience, the product broke after a week.",Negative
255,"The product is okay, but nothing special.",Neutral
260,The item arrived late and was damaged. Very disappointed.,Negative
803,Not satisfied with the quality. It feels cheap.,Negative
678,Excellent service and fast delivery. Highly recommend!,Positive
495,"Neutral feelings about this product, it's just average.",Neutral
671,Not satisfied with the quality. It feels cheap.,Negative
378,"Terrible experience, the product broke after a week.",Negative
527,"The product is okay, but nothing special.",Neutral
846,Excellent service and fast delivery. Highly recommend!,Positive
138,"Neutral feelings about this product, it's just average.",Neutral
356,Excellent service and fast delivery. Highly recommend!,Positive
366,Not satisfied with the quality. It feels cheap.,Negative
943,I love this product! It has changed my life.,Positive
750,Excellent service and fast delivery. Highly recommend!,Positive
949,Amazing quality and great value for the price!,Positive
830,I wouldn't recommend this to my friends. Poor performance.,Negative
657,I wouldn't recommend this to my friends. Poor performance.,Negative
200,I love this product! It has changed my life.,Positive
214,"The product is okay, but nothing special.",Neutral
409,The item arrived late and was damaged. Very disappointed.,Negative
333,"Terrible experience, the product broke after a week.",Negative
209,Excellent service and fast delivery. Highly recommend!,Positive
614,I wouldn't recommend this to my friends. Poor performance.,Negative
79,The item arrived late and was damaged. Very disappointed.,Negative
30,The item arrived late and was damaged. Very disappointed.,Negative
536,Amazing quality and great value for the price!,Positive
696,The item arrived late and was damaged. Very disappointed.,Negative
558,Amazing quality and great value for the price!,Positive
837,,Neutral
597,The item arrived late and was damaged. Very disappointed.,Negative
166,"Terrible experience, the product broke after a week.",Negative
919,"Neutral feelings about this product, it's just average.",Neutral
496,"Neutral feelings about this product, it's just average.",Neutral
825,"Terrible experience, the product broke after a week.",Negative
66,This is the best purchase I've made this year!,Positive
142,"The product is okay, but nothing special.",Neutral
926,"Terrible experience, the product broke after a week.",Negative
828,I wouldn't recommend this to my friends. Poor performance.,Negative
656,"Terrible experience, the product broke after a week.",Negative
332,This is the best purchase I've made this year!,Positive
665,"Terrible experience, the product broke after a week.",Negative
250,I love this product! It has changed my life.,Positive
908,Not satisfied with the quality. It feels cheap.,Negative
709,I wouldn't recommend this to my friends. Poor performance.,Negative
306,I wouldn't recommend this to my friends. Poor performance.,Negative
735,I love this product! It has changed my life.,Positive
976,"Terrible experience, the product broke after a week.",Negative
50,Amazing quality and great value for the price!,Positive
897,I love this product! It has changed my life.,Positive
3,Not satisfied with the quality. It feels cheap.,Negative
545,This is the best purchase I've made this year!,Positive
351,Amazing quality and great value for the price!,Positive
905,I wouldn't recommend this to my friends. Poor performance.,Negative
537,Excellent service and fast delivery. Highly recommend!,Positive
345,Not satisfied with the quality. It feels cheap.,Negative
995,Not satisfied with the quality. It feels cheap.,Negative
482,I wouldn't recommend this to my friends. Poor performance.,Negative
576,Excellent service and fast delivery. Highly recommend!,Positive
34,Excellent service and fast delivery. Highly recommend!,Positive
32,Not satisfied with the quality. It feels cheap.,Negative
232,The item arrived late and was damaged. Very disappointed.,Negative
964,I wouldn't recommend this to my friends. Poor performance.,Negative
193,This is the best purchase I've made this year!,Positive
334,Excellent service and fast delivery. Highly recommend!,Positive
4,Excellent service and fast delivery. Highly recommend!,Positive
205,I love this product! It has changed my life.,Positive
515,Excellent service and fast delivery. Highly recommend!,Positive
800,"Terrible experience, the product broke after a week.",Negative
307,I wouldn't recommend this to my friends. Poor performance.,Negative
110,Excellent service and fast delivery. Highly recommend!,Positive
431,This is the best purchase I've made this year!,Positive
78,"Neutral feelings about this product, it's just average.",Neutral
85,Excellent service and fast delivery. Highly recommend!,Positive
287,"The product is okay, but nothing special.",Neutral
83,This is the best purchase I've made this year!,Positive
992,Amazing quality and great value for the price!,Positive
790,I love this product! It has changed my life.,Positive
895,"Terrible experience, the product broke after a week.",Negative
399,The item arrived late and was damaged. Very disappointed.,Negative
324,I wouldn't recommend this to my friends. Poor performance.,Negative
520,The item arrived late and was damaged. Very disappointed.,Negative
917,I wouldn't recommend this to my friends. Poor performance.,Negative
923,The item arrived late and was damaged. Very disappointed.,Negative
6,"The product is okay, but nothing special.",Neutral
732,I wouldn't recommend this to my friends. Poor performance.,Negative
466,I wouldn't recommend this to my friends. Poor performance.,Negative
98,"The product is okay, but nothing special.",Neutral
267,"Neutral feelings about this product, it's just average.",Neutral
358,Excellent service and fast delivery. Highly recommend!,Positive
869,I wouldn't recommend this to my friends. Poor performance.,Negative
799,"Neutral feelings about this product, it's just average.",Neutral
381,Amazing quality and great value for the price!,Positive
632,This is the best purchase I've made this year!,Positive
382,I love this product! It has changed my life.,Positive
491,The item arrived late and was damaged. Very disappointed.,Negative
119,The item arrived late and was damaged. Very disappointed.,Negative
901,Not satisfied with the quality. It feels cheap.,Negative
251,Amazing quality and great value for the price!,Positive
524,"Neutral feelings about this product, it's just average.",Neutral
10,I wouldn't recommend this to my friends. Poor performance.,Negative
197,Excellent service and fast delivery. Highly recommend!,Positive
604,Not satisfied with the quality. It feels cheap.,Negative
82,Excellent service and fast delivery. Highly recommend!,Positive
784,Excellent service and fast delivery. Highly recommend!,Positive
588,I wouldn't recommend this to my friends. Poor performance.,Negative
798,"The product is okay, but nothing special.",Neutral
240,"The product is okay, but nothing special.",Neutral
291,"The product is okay, but nothing special.",Neutral
212,Excellent service and fast delivery. Highly recommend!,Positive
718,I wouldn't recommend this to my friends. Poor performance.,Negative
360,Amazing quality and great value for the price!,Positive
450,Amazing quality and great value for the price!,Positive
228,"Neutral feelings about this product, it's just average.",Neutral
951,I wouldn't recommend this to my friends. Poor performance.,Negative
947,I love this product! It has changed my life.,Positive
797,Not satisfied with the quality. It feels cheap.,Negative
502,"Terrible experience, the product broke after a week.",Negative
465,This is the best purchase I've made this year!,Positive
363,I love this product! It has changed my life.,Positive
469,Not satisfied with the quality. It feels cheap.,Negative
936,"Terrible experience, the product broke after a week.",Negative
429,"Terrible experience, the product broke after a week.",Negative
8,Amazing quality and great value for the price!,Positive
156,This is the best purchase I've made this year!,Positive
542,Amazing quality and great value for the price!,Positive
441,Not satisfied with the quality. It feels cheap.,Negative
483,I wouldn't recommend this to my friends. Poor performance.,Negative
423,Excellent service and fast delivery. Highly recommend!,Positive
779,I wouldn't recommend this to my friends. Poor performance.,Negative
950,This is the best purchase I've made this year!,Positive
335,This is the best purchase I've made this year!,Positive
577,"Terrible experience, the product broke after a week.",Negative
935,"Neutral feelings about this product, it's just average.",Neutral
568,This is the best purchase I've made this year!,Positive
595,Not satisfied with the quality. It feels cheap.,Negative
531,Excellent service and fast delivery. Highly recommend!,Positive
582,"Neutral feelings about this product, it's just average.",Neutral
708,The item arrived late and was damaged. Very disappointed.,Negative
449,I wouldn't recommend this to my friends. Poor performance.,Negative
454,Excellent service and fast delivery. Highly recommend!,Positive
229,I love this product! It has changed my life.,Positive
353,Not satisfied with the quality. It feels cheap.,Negative
729,Not satisfied with the quality. It feels cheap.,Negative
213,Amazing quality and great value for the price!,Positive
80,Not satisfied with the quality. It feels cheap.,Negative
149,"The product is okay, but nothing special.",Neutral
303,I wouldn't recommend this to my friends. Poor performance.,Negative
629,This is the best purchase I've made this year!,Positive
778,Not satisfied with the quality. It feels cheap.,Negative
507,"Terrible experience, the product broke after a week.",Negative
343,I love this product! It has changed my life.,Positive
486,Amazing quality and great value for the price!,Positive
712,Excellent service and fast delivery. Highly recommend!,Positive
134,"Terrible experience, the product broke after a week.",Negative
704,I wouldn't recommend this to my friends. Poor performance.,Negative
312,This is the best purchase I've made this year!,Positive
723,"Neutral feelings about this product, it's just average.",Neutral
630,Excellent service and fast delivery. Highly recommend!,Positive
1,"Terrible experience, the product broke after a week.",Negative
317,Not satisfied with the quality. It feels cheap.,Negative
707,"Neutral feelings about this product, it's just average.",Neutral
548,Amazing quality and great value for the price!,Positive
873,Amazing quality and great value for the price!,Positive
533,Amazing quality and great value for the price!,Positive
478,Excellent service and fast delivery. Highly recommend!,Positive
405,The item arrived late and was damaged. Very disappointed.,Negative
173,"Neutral feelings about this product, it's just average.",Neutral
126,Amazing quality and great value for the price!,Positive
395,Excellent service and fast delivery. Highly recommend!,Positive
421,Not satisfied with the quality. It feels cheap.,Negative
553,"Neutral feelings about this product, it's just average.",Neutral
904,Excellent service and fast delivery. Highly recommend!,Positive
91,Excellent service and fast delivery. Highly recommend!,Positive
940,"Terrible experience, the product broke after a week.",Negative
182,Excellent service and fast delivery. Highly recommend!,Positive
275,Excellent service and fast delivery. Highly recommend!,Positive
896,I wouldn't recommend this to my friends. Poor performance.,Negative
70,Excellent service and fast delivery. Highly recommend!,Positive
292,"Terrible experience, the product broke after a week.",Negative
132,Not satisfied with the quality. It feels cheap.,Negative
301,I wouldn't recommend this to my friends. Poor performance.,Negative
425,Excellent service and fast delivery. Highly recommend!,Positive
327,Amazing quality and great value for the price!,Positive
145,Not satisfied with the quality. It feels cheap.,Negative
424,I love this product! It has changed my life.,Positive
581,Amazing quality and great value for the price!,Positive
136,The item arrived late and was damaged. Very disappointed.,Negative
451,"Terrible experience, the product broke after a week.",Negative
165,I wouldn't recommend this to my friends. Poor performance.,Negative
29,"The product is okay, but nothing special.",Neutral
774,"The product is okay, but nothing special.",Neutral
194,I love this product! It has changed my life.,Positive
389,I love this product! It has changed my life.,Positive
853,"Terrible experience, the product broke after a week.",Negative
170,Amazing quality and great value for the price!,Positive
706,"Neutral feelings about this product, it's just average.",Neutral
141,Amazing quality and great value for the price!,Positive
174,Amazing quality and great value for the price!,Positive
7,"Terrible experience, the product broke after a week.",Negative
746,"Neutral feelings about this product, it's just average.",Neutral
479,The item arrived late and was damaged. Very disappointed.,Negative
74,"The product is okay, but nothing special.",Neutral
911,"The product is okay, but nothing special.",Neutral
814,The item arrived late and was damaged. Very disappointed.,Negative
239,"Neutral feelings about this product, it's just average.",Neutral
146,Amazing quality and great value for the price!,Positive
793,Not satisfied with the quality. It feels cheap.,Negative
235,Excellent service and fast delivery. Highly recommend!,Positive
221,Excellent service and fast delivery. Highly recommend!,Positive
924,This is the best purchase I've made this year!,Positive
501,"The product is okay, but nothing special.",Neutral
133,This is the best purchase I've made this year!,Positive
991,I wouldn't recommend this to my friends. Poor performance.,Negative
775,Excellent service and fast delivery. Highly recommend!,Positive
186,"Neutral feelings about this product, it's just average.",Neutral
42,I wouldn't recommend this to my friends. Poor performance.,Negative
697,This is the best purchase I've made this year!,Positive
109,This is the best purchase I've made this year!,Positive
589,I love this product! It has changed my life.,Positive
57,I love this product! It has changed my life.,Positive
406,I love this product! It has changed my life.,Positive
443,"Terrible experience, the product broke after a week.",Negative
758,Amazing quality and great value for the price!,Positive
998,Amazing quality and great value for the price!,Positive
25,"Neutral feelings about this product, it's just average.",Neutral
468,"Terrible experience, the product broke after a week.",Negative
540,"The product is okay, but nothing special.",Neutral
532,"The product is okay, but nothing special.",Neutral
619,I wouldn't recommend this to my friends. Poor performance.,Negative
695,"Terrible experience, the product broke after a week.",Negative
927,"The product is okay, but nothing special.",Neutral
339,Amazing quality and great value for the price!,Positive
52,I wouldn't recommend this to my friends. Poor performance.,Negative
508,Excellent service and fast delivery. Highly recommend!,Positive
517,I wouldn't recommend this to my friends. Poor performance.,Negative
921,"Neutral feelings about this product, it's just average.",Neutral
782,Not satisfied with the quality. It feels cheap.,Negative
265,The item arrived late and was damaged. Very disappointed.,Negative
818,I love this product! It has changed my life.,Positive
711,This is the best purchase I've made this year!,Positive
683,I wouldn't recommend this to my friends. Poor performance.,Negative
833,The item arrived late and was damaged. Very disappointed.,Negative
519,"Neutral feelings about this product, it's just average.",Neutral
448,The item arrived late and was damaged. Very disappointed.,Negative
19,I love this product! It has changed my life.,Positive
716,Excellent service and fast delivery. Highly recommend!,Positive
484,Not satisfied with the quality. It feels cheap.,Negative
569,Amazing quality and great value for the price!,Positive
434,Amazing quality and great value for the price!,Positive
368,I love this product! It has changed my life.,Positive
84,I love this product! It has changed my life.,Positive
62,"Terrible experience, the product broke after a week.",Negative
639,"Neutral feelings about this product, it's just average.",Neutral
273,Excellent service and fast delivery. Highly recommend!,Positive
286,Amazing quality and great value for the price!,Positive
361,"Neutral feelings about this product, it's just average.",Neutral
355,I wouldn't recommend this to my friends. Poor performance.,Negative
457,The item arrived late and was damaged. Very disappointed.,Negative
279,I love this product! It has changed my life.,Positive
13,I love this product! It has changed my life.,Positive
183,Not satisfied with the quality. It feels cheap.,Negative
369,This is the best purchase I've made this year!,Positive
882,I wouldn't recommend this to my friends. Poor performance.,Negative
616,I love this product! It has changed my life.,Positive
224,The item arrived late and was damaged. Very disappointed.,Negative
573,Excellent service and fast delivery. Highly recommend!,Positive
971,The item arrived late and was damaged. Very disappointed.,Negative
654,"The product is okay, but nothing special.",Neutral
546,"Neutral feelings about this product, it's just average.",Neutral
583,The item arrived late and was damaged. Very disappointed.,Negative
634,The item arrived late and was damaged. Very disappointed.,Negative
177,Amazing quality and great value for the price!,Positive
666,"The product is okay, but nothing special.",Neutral
674,The item arrived late and was damaged. Very disappointed.,Negative
586,The item arrived late and was damaged. Very disappointed.,Negative
874,Excellent service and fast delivery. Highly recommend!,Positive
394,Excellent service and fast delivery. Highly recommend!,Positive
164,Excellent service and fast delivery. Highly recommend!,Positive
249,"Terrible experience, the product broke after a week.",Negative
635,Not satisfied with the quality. It feels cheap.,Negative
886,"Terrible experience, the product broke after a week.",Negative
670,I love this product! It has changed my life.,Positive
376,Amazing quality and great value for the price!,Positive
413,"Terrible experience, the product broke after a week.",Negative
75,Amazing quality and great value for the price!,Positive
114,"Terrible experience, the product broke after a week.",Negative
599,Amazing quality and great value for the price!,Positive
962,"Terrible experience, the product broke after a week.",Negative
391,This is the best purchase I've made this year!,Positive
105,I wouldn't recommend this to my friends. Poor performance.,Negative
115,I love this product! It has changed my life.,Positive
418,Excellent service and fast delivery. Highly recommend!,Positive
526,Excellent service and fast delivery. Highly recommend!,Positive
458,I love this product! It has changed my life.,Positive
410,Excellent service and fast delivery. Highly recommend!,Positive
93,This is the best purchase I've made this year!,Positive
931,Not satisfied with the quality. It feels cheap.,Negative
90,"Terrible experience, the product broke after a week.",Negative
337,"The product is okay, but nothing special.",Neutral
989,The item arrived late and was damaged. Very disappointed.,Negative
922,This is the best purchase I've made this year!,Positive
934,I love this product! It has changed my life.,Positive
606,"Neutral feelings about this product, it's just average.",Neutral
594,This is the best purchase I've made this year!,Positive
612,"Neutral feelings about this product, it's just average.",Neutral
95,"Neutral feelings about this product, it's just average.",Neutral
12,I love this product! It has changed my life.,Positive
397,This is the best purchase I've made this year!,Positive
534,"Neutral feelings about this product, it's just average.",Neutral
44,I love this product! It has changed my life.,Positive
43,Not satisfied with the quality. It feels cheap.,Negative
330,Not satisfied with the quality. It feels cheap.,Negative
168,"Neutral feelings about this product, it's just average.",Neutral
498,Excellent service and fast delivery. Highly recommend!,Positive
877,"The product is okay, but nothing special.",Neutral
598,Amazing quality and great value for the price!,Positive
757,Amazing quality and great value for the price!,Positive
101,Excellent service and fast delivery. Highly recommend!,Positive
427,This is the best purchase I've made this year!,Positive
179,The item arrived late and was damaged. Very disappointed.,Negative
445,The item arrived late and was damaged. Very disappointed.,Negative
417,Excellent service and fast delivery. Highly recommend!,Positive
871,The item arrived late and was damaged. Very disappointed.,Negative
883,I wouldn't recommend this to my friends. Poor performance.,Negative
681,I wouldn't recommend this to my friends. Poor performance.,Negative
178,I wouldn't recommend this to my friends. Poor performance.,Negative
396,,Neutral
912,"Neutral feelings about this product, it's just average.",Neutral
794,I love this product! It has changed my life.,Positive
961,"Neutral feelings about this product, it's just average.",Neutral
685,This is the best purchase I've made this year!,Positive
384,I wouldn't recommend this to my friends. Poor performance.,Negative
957,Amazing quality and great value for the price!,Positive
752,Excellent service and fast delivery. Highly recommend!,Positive
258,"Neutral feelings about this product, it's just average.",Neutral
539,"Neutral feelings about this product, it's just average.",Neutral
336,Not satisfied with the quality. It feels cheap.,Negative
16,Excellent service and fast delivery. Highly recommend!,Positive
325,"Terrible experience, the product broke after a week.",Negative
759,This is the best purchase I've made this year!,Positive
223,"Terrible experience, the product broke after a week.",Negative
180,Excellent service and fast delivery. Highly recommend!,Positive
984,"Neutral feelings about this product, it's just average.",Neutral
23,The item arrived late and was damaged. Very disappointed.,Negative
357,This is the best purchase I've made this year!,Positive
667,Not satisfied with the quality. It feels cheap.,Negative
862,Excellent service and fast delivery. Highly recommend!,Positive
341,I wouldn't recommend this to my friends. Poor performance.,Negative
432,Amazing quality and great value for the price!,Positive
552,"The product is okay, but nothing special.",Neutral
834,"Neutral feelings about this product, it's just average.",Neutral
204,"Terrible experience, the product broke after a week.",Negative
631,"Neutral feelings about this product, it's just average.",Neutral
94,Excellent service and fast delivery. Highly recommend!,Positive
559,"Neutral feelings about this product, it's just average.",Neutral
69,This is the best purchase I've made this year!,Positive
623,"The product is okay, but nothing special.",Neutral
285,Amazing quality and great value for the price!,Positive
845,Excellent service and fast delivery. Highly recommend!,Positive
435,This is the best purchase I've made this year!,Positive
154,I love this product! It has changed my life.,Positive
76,Excellent service and fast delivery. Highly recommend!,Positive
731,Not satisfied with the quality. It feels cheap.,Negative
447,This is the best purchase I've made this year!,Positive
189,"Terrible experience, the product broke after a week.",Negative
272,"The product is okay, but nothing special.",Neutral
237,Excellent service and fast delivery. Highly recommend!,Positive
488,Not satisfied with the quality. It feels cheap.,Negative
118,"The product is okay, but nothing special.",Neutral
944,Amazing quality and great value for the price!,Positive
513,I love this product! It has changed my life.,Positive
826,Amazing quality and great value for the price!,Positive
592,"Neutral feelings about this product, it's just average.",Neutral
127,Not satisfied with the quality. It feels cheap.,Negative
117,"The product is okay, but nothing special.",Neutral
474,The item arrived late and was damaged. Very disappointed.,Negative
694,"Neutral feelings about this product, it's just average.",Neutral
58,Excellent service and fast delivery. Highly recommend!,Positive
864,Not satisfied with the quality. It feels cheap.,Negative
913,Amazing quality and great value for the price!,Positive
370,"The product is okay, but nothing special.",Neutral
269,The item arrived late and was damaged. Very disappointed.,Negative
47,"Terrible experience, the product broke after a week.",Negative
350,"Terrible experience, the product broke after a week.",Negative
196,Amazing quality and great value for the price!,Positive
1000,I love this product! It has changed my life.,Positive
835,"Neutral feelings about this product, it's just average.",Neutral
737,Excellent service and fast delivery. Highly recommend!,Positive
264,I love this product! It has changed my life.,Positive
444,I wouldn't recommend this to my friends. Poor performance.,Negative
676,"Terrible experience, the product broke after a week.",Negative
305,The item arrived late and was damaged. Very disappointed.,Negative
342,Amazing quality and great value for the price!,Positive
967,Not satisfied with the quality. It feels cheap.,Negative
150,This is the best purchase I've made this year!,Positive
125,"Neutral feelings about this product, it's just average.",Neutral
787,This is the best purchase I've made this year!,Positive
51,Not satisfied with the quality. It feels cheap.,Negative
354,Not satisfied with the quality. It feels cheap.,Negative
928,This is the best purchase I've made this year!,Positive
143,Amazing quality and great value for the price!,Positive
471,Not satisfied with the quality. It feels cheap.,Negative
400,I wouldn't recommend this to my friends. Poor performance.,Negative
626,I love this product! It has changed my life.,Positive
321,I love this product! It has changed my life.,Positive
20,Amazing quality and great value for the price!,Positive
810,Not satisfied with the quality. It feels cheap.,Negative
791,Amazing quality and great value for the price!,Positive
809,I love this product! It has changed my life.,Positive
408,This is the best purchase I've made this year!,Positive
538,"Terrible experience, the product broke after a week.",Negative
621,"Terrible experience, the product broke after a week.",Negative
39,"Terrible experience, the product broke after a week.",Negative
176,Not satisfied with the quality. It feels cheap.,Negative
246,"Terrible experience, the product broke after a week.",Negative
829,I wouldn't recommend this to my friends. Poor performance.,Negative
668,"Terrible experience, the product broke after a week.",Negative
755,This is the best purchase I've made this year!,Positive
859,"Neutral feelings about this product, it's just average.",Neutral
